     UniSp2   UniSp4   UniSp6 cel-miR-39-3p UniSp3_IPC
1  24.87412 32.37412 19.64891      28.30891   18.80891
2  25.03859 32.25859 19.24852      27.75852   18.89852
3  24.56234 32.15234 19.46891      27.86891   18.79891
4  23.84399 31.04399 18.68518      27.02185   18.66852
5  24.12229 31.47229 18.99852      27.85852   18.75852
6  24.81267 32.08267 19.79891      28.07891   18.74891
7  23.77375 31.27375 18.98162      27.51162   18.64162
8  24.78259 31.98259 18.41891      27.91891   18.74891
9  24.17614 31.15614 18.93162      27.40162   18.73162
10 26.36612 33.54612 18.74162      27.39162   18.76162
11 23.07073 30.99073 18.70852      27.16852   18.98852
12 24.43888 31.65888 18.80162      27.14162   18.79162
13 26.66098 33.17098 19.02162      27.34162   18.65162
14 24.88066 32.08066 19.45891      27.72891   18.75891
15 25.25898 32.61898 19.63891      27.90891   18.68891
16 24.89281 31.70281 19.63891      27.72891   18.76891
17 25.54518 32.70518 19.44852      27.79852   18.94852
18 25.57193 33.42193 19.09852      27.76852   18.95852
19 25.41027 32.91027 18.70852      27.13852   18.92852
20 25.58788 32.71788 19.00852      27.26852   18.96852
