# A tibble: 20 x 5
   UniSp2 UniSp4 UniSp6 `cel-miR-39-3p` UniSp3_IPC
    <dbl>  <dbl>  <dbl>           <dbl>      <dbl>
 1   22.2   29.8   18.1            27.1       18.3
 2   21.0   28.3   18.5            27.0       18.4
 3   21.0   28.5   18.7            27.1       18.3
 4   21.5   28.9   18.7            27.0       18.4
 5   22.5   29.6   18.4            26.8       18.5
 6   19.5   26.8   18.6            27.1       18.6
 7   23.2   30.1   18.5            26.8       18.8
 8   22.4   30.0   18.8            27.2       18.6
 9   21.7   28.3   18.6            27.0       18.7
10   22.2   28.7   18.5            26.8       18.7
11   20.5   27.7   18.6            26.7       18.2
12   22.3   29.1   18.8            26.9       18.7
13   22.6   28.9   19.0            27.0       18.8
14   22.6   29.6   18.7            27.0       18.7
15   22.0   29.6   18.7            26.8       18.8
16   22.5   29.6   18.8            27.1       18.7
17   20.9   28.1   19.2            26.7       18.2
18   19.1   26.6   18.0            26.3       18.1
19   20.7   28.2   17.9            26.8       18.1
20   21.4   29.0   18.2            26.3       18.2
