# A tibble: 20 x 5
   UniSp2 UniSp4 UniSp6 `cel-miR-39-3p` UniSp3_IPC
    <dbl>  <dbl>  <dbl>           <dbl>      <dbl>
 1   24.9   32.4   19.6            28.3       18.8
 2   25.0   32.3   19.2            27.8       18.9
 3   24.6   32.2   19.5            27.9       18.8
 4   23.8   31.0   18.7            27.0       18.7
 5   24.1   31.5   19.0            27.9       18.8
 6   24.8   32.1   19.8            28.1       18.7
 7   23.8   31.3   19.0            27.5       18.6
 8   24.8   32.0   18.4            27.9       18.7
 9   24.2   31.2   18.9            27.4       18.7
10   26.4   33.5   18.7            27.4       18.8
11   23.1   31.0   18.7            27.2       19.0
12   24.4   31.7   18.8            27.1       18.8
13   26.7   33.2   19.0            27.3       18.7
14   24.9   32.1   19.5            27.7       18.8
15   25.3   32.6   19.6            27.9       18.7
16   24.9   31.7   19.6            27.7       18.8
17   25.5   32.7   19.4            27.8       18.9
18   25.6   33.4   19.1            27.8       19.0
19   25.4   32.9   18.7            27.1       18.9
20   25.6   32.7   19.0            27.3       19.0
