     UniSp2   UniSp4   UniSp6 cel-miR-39-3p UniSp3_IPC
1  22.18852 29.78852 18.09852      27.06852   18.32852
2  20.98852 28.26852 18.53852      26.96852   18.36852
3  20.95852 28.52852 18.74852      27.14852   18.34852
4  21.49852 28.87852 18.66852      27.04852   18.37852
5  22.49852 29.56852 18.35852      26.77852   18.45852
6  19.51162 26.76162 18.60162      27.11162   18.63162
7  23.22162 30.06162 18.49162      26.81162   18.76162
8  22.35162 29.97162 18.77162      27.20162   18.64162
9  21.69162 28.33162 18.60162      27.00162   18.74162
10 22.20162 28.71162 18.54162      26.77162   18.66162
11 20.52852 27.72852 18.57852      26.73852   18.16852
12 22.25162 29.14162 18.84162      26.93162   18.65162
13 22.56162 28.89162 18.98162      26.99162   18.78162
14 22.63162 29.61162 18.74162      27.04162   18.67162
15 21.97162 29.63162 18.71162      26.76162   18.77162
16 22.45162 29.55162 18.77162      27.10162   18.66162
17 20.88852 28.13852 19.18852      26.71852   18.17852
18 19.14852 26.55852 18.02852      26.33852   18.14852
19 20.69852 28.18852 17.91852      26.75852   18.12852
20 21.36852 28.95852 18.20852      26.31852   18.16852
