UniSp2	UniSp4	UniSp6	cel-miR-39-3p	UniSp3_IPC
24.8741174911113	32.3741174911113	19.6489054005074	28.3089054005074	18.8089054005074
25.0385873559844	32.2585873559844	19.2485160790391	27.7585160790391	18.8985160790391
24.5623379979162	32.1523379979162	19.4689054005074	27.8689054005074	18.7989054005074
23.8439912678181	31.0439912678181	18.6851827457058	27.0218494123725	18.6685160790391
24.1222929802995	31.4722929802995	18.9985160790391	27.8585160790391	18.7585160790391
24.8126696734664	32.0826696734664	19.7989054005074	28.0789054005074	18.7489054005074
23.7737487312169	31.2737487312169	18.981619527315	27.511619527315	18.641619527315
24.782587868406	31.982587868406	18.4189054005074	27.9189054005074	18.7489054005074
24.1761396385155	31.1561396385155	18.931619527315	27.401619527315	18.731619527315
26.3661166634444	33.5461166634444	18.741619527315	27.391619527315	18.761619527315
23.0707344463088	30.9907344463088	18.7085160790391	27.1685160790391	18.9885160790391
24.4388753938635	31.6588753938635	18.801619527315	27.141619527315	18.791619527315
26.660980801055	33.170980801055	19.021619527315	27.341619527315	18.651619527315
24.880659441328	32.080659441328	19.4589054005074	27.7289054005074	18.7589054005074
25.2589766774527	32.6189766774527	19.6389054005074	27.9089054005074	18.6889054005074
24.8928117721857	31.7028117721857	19.6389054005074	27.7289054005074	18.7689054005074
25.5451750409805	32.7051750409805	19.4485160790391	27.7985160790391	18.9485160790391
25.571932532857	33.421932532857	19.0985160790391	27.7685160790391	18.9585160790391
25.4102701198597	32.9102701198597	18.7085160790391	27.1385160790391	18.9285160790391
25.5878773527791	32.7178773527791	19.0085160790391	27.2685160790391	18.9685160790391
