"UniSp2","UniSp4","UniSp6","cel-miR-39-3p","UniSp3_IPC","hsa-miR-30c-5p","hsa-miR-103a-3p","hsa-miR-191-5p","hsa-miR-23a-3p","hsa-miR-451a"
24.8741174911113,32.3741174911113,19.6489054005074,28.3089054005074,18.8089054005074,27.1489054005074,25.5589054005074,27.8089054005074,26.1089054005074,31.5089054005074
25.0385873559844,32.2585873559844,19.2485160790391,27.7585160790391,18.8985160790391,27.3585160790391,27.5685160790391,28.8785160790391,26.5285160790391,31.4985160790391
24.5623379979162,32.1523379979162,19.4689054005074,27.8689054005074,18.7989054005074,26.5089054005074,25.3189054005074,28.1489054005074,25.6989054005074,31.9489054005074
23.8439912678181,31.0439912678181,18.6851827457058,27.0218494123725,18.6685160790391,25.7518494123725,25.3318494123725,27.2151827457058,24.6351827457058,32.3885160790391
24.1222929802995,31.4722929802995,18.9985160790391,27.8585160790391,18.7585160790391,27.3085160790391,25.4785160790391,28.2785160790391,26.2385160790391,32.1185160790391
24.8126696734664,32.0826696734664,19.7989054005074,28.0789054005074,18.7489054005074,28.4089054005074,26.4989054005074,27.6689054005074,27.0689054005074,33.6189054005074
23.7737487312169,31.2737487312169,18.981619527315,27.511619527315,18.641619527315,26.131619527315,24.881619527315,26.661619527315,24.681619527315,31.161619527315
24.782587868406,31.982587868406,18.4189054005074,27.9189054005074,18.7489054005074,26.7989054005074,27.6489054005074,28.7689054005074,26.1889054005074,32.8789054005074
24.1761396385155,31.1561396385155,18.931619527315,27.401619527315,18.731619527315,26.471619527315,25.901619527315,27.941619527315,25.931619527315,28.801619527315
26.3661166634444,33.5461166634444,18.741619527315,27.391619527315,18.761619527315,27.991619527315,28.151619527315,28.121619527315,26.891619527315,33.541619527315
23.0707344463088,30.9907344463088,18.7085160790391,27.1685160790391,18.9885160790391,25.7685160790391,25.2585160790391,27.9485160790391,24.9385160790391,31.9785160790391
24.4388753938635,31.6588753938635,18.801619527315,27.141619527315,18.791619527315,25.721619527315,25.881619527315,26.631619527315,24.811619527315,28.931619527315
26.660980801055,33.170980801055,19.021619527315,27.341619527315,18.651619527315,28.161619527315,28.061619527315,29.651619527315,28.571619527315,33.401619527315
24.880659441328,32.080659441328,19.4589054005074,27.7289054005074,18.7589054005074,26.5789054005074,26.2189054005074,28.5889054005074,26.1989054005074,31.1389054005074
25.2589766774527,32.6189766774527,19.6389054005074,27.9089054005074,18.6889054005074,27.0389054005074,25.0289054005074,28.0389054005074,27.0889054005074,27.5489054005074
24.8928117721857,31.7028117721857,19.6389054005074,27.7289054005074,18.7689054005074,26.6189054005074,26.5689054005074,27.8289054005074,24.8989054005074,28.9989054005074
25.5451750409805,32.7051750409805,19.4485160790391,27.7985160790391,18.9485160790391,25.7985160790391,26.4885160790391,27.5085160790391,24.2585160790391,27.3185160790391
25.571932532857,33.421932532857,19.0985160790391,27.7685160790391,18.9585160790391,26.7385160790391,28.0085160790391,28.7685160790391,26.0385160790391,29.4185160790391
25.4102701198597,32.9102701198597,18.7085160790391,27.1385160790391,18.9285160790391,24.5385160790391,27.9385160790391,27.9485160790391,25.4385160790391,27.2685160790391
25.5878773527791,32.7178773527791,19.0085160790391,27.2685160790391,18.9685160790391,26.2885160790391,26.9885160790391,26.7185160790391,24.1485160790391,29.1385160790391
