UniSp2,UniSp4,UniSp6,cel-miR-39-3p,UniSp3_IPC
22.1885160790391,29.7885160790391,18.0985160790391,27.0685160790391,18.3285160790391
20.9885160790391,28.2685160790391,18.5385160790391,26.9685160790391,18.3685160790391
20.9585160790391,28.5285160790391,18.7485160790391,27.1485160790391,18.3485160790391
21.4985160790391,28.8785160790391,18.6685160790391,27.0485160790391,18.3785160790391
22.4985160790391,29.5685160790391,18.3585160790391,26.7785160790391,18.4585160790391
19.511619527315,26.761619527315,18.601619527315,27.111619527315,18.631619527315
23.221619527315,30.061619527315,18.491619527315,26.811619527315,18.761619527315
22.351619527315,29.971619527315,18.771619527315,27.201619527315,18.641619527315
21.691619527315,28.331619527315,18.601619527315,27.001619527315,18.741619527315
22.201619527315,28.711619527315,18.541619527315,26.771619527315,18.661619527315
20.5285160790391,27.7285160790391,18.5785160790391,26.7385160790391,18.1685160790391
22.251619527315,29.141619527315,18.841619527315,26.931619527315,18.651619527315
22.561619527315,28.891619527315,18.981619527315,26.991619527315,18.781619527315
22.631619527315,29.611619527315,18.741619527315,27.041619527315,18.671619527315
21.971619527315,29.631619527315,18.711619527315,26.761619527315,18.771619527315
22.451619527315,29.551619527315,18.771619527315,27.101619527315,18.661619527315
20.8885160790391,28.1385160790391,19.1885160790391,26.7185160790391,18.1785160790391
19.1485160790391,26.5585160790391,18.0285160790391,26.3385160790391,18.1485160790391
20.6985160790391,28.1885160790391,17.9185160790391,26.7585160790391,18.1285160790391
21.3685160790391,28.9585160790391,18.2085160790391,26.3185160790391,18.1685160790391
